route_id,trip_id,day_of_week,hour,stop_id,boardings,alightings,overall
ROUTE11,TRIP301,Friday,7,S1,44.0,0.0,44.0
ROUTE11,TRIP301,Friday,7,S2,44.0,42.0,46.0
ROUTE11,TRIP301,Friday,7,S3,0.0,46.0,0.0
ROUTE11,TRIP301,Friday,7,S5,49.0,0.0,49.0
ROUTE11,TRIP301,Friday,8,S1,52.0,0.0,101.0
ROUTE11,TRIP301,Friday,8,S2,51.0,44.0,108.0
ROUTE11,TRIP301,Friday,8,S3,0.0,93.0,15.0
ROUTE11,TRIP301,Friday,8,S5,48.0,14.0,49.0
ROUTE11,TRIP301,Friday,9,S1,34.0,0.0,83.0
ROUTE11,TRIP301,Friday,9,S2,37.0,30.0,90.0
ROUTE11,TRIP301,Friday,9,S3,0.0,67.0,23.0
ROUTE11,TRIP301,Friday,9,S5,39.0,13.0,49.0
ROUTE11,TRIP301,Friday,11,S1,26.0,0.0,75.0
ROUTE11,TRIP301,Friday,11,S2,28.0,22.0,81.0
ROUTE11,TRIP301,Friday,11,S3,0.0,44.0,37.0
ROUTE11,TRIP301,Friday,11,S5,20.0,8.0,49.0
ROUTE11,TRIP301,Friday,12,S1,27.0,0.0,76.0
ROUTE11,TRIP301,Friday,12,S2,26.0,18.0,84.0
ROUTE11,TRIP301,Friday,12,S3,0.0,45.0,39.0
ROUTE11,TRIP301,Friday,12,S5,18.0,8.0,49.0
ROUTE11,TRIP301,Friday,13,S1,34.0,0.0,83.0
ROUTE11,TRIP301,Friday,13,S2,27.0,21.0,89.0
ROUTE11,TRIP301,Friday,13,S3,0.0,43.0,46.0
ROUTE11,TRIP301,Friday,13,S5,19.0,16.0,49.0
ROUTE11,TRIP301,Friday,14,S1,17.0,0.0,66.0
ROUTE11,TRIP301,Friday,14,S2,17.0,12.0,71.0
ROUTE11,TRIP301,Friday,14,S3,0.0,39.0,32.0
ROUTE11,TRIP301,Friday,14,S5,23.0,6.0,49.0
ROUTE11,TRIP301,Friday,16,S1,18.0,0.0,67.0
ROUTE11,TRIP301,Friday,16,S2,20.0,17.0,70.0
ROUTE11,TRIP301,Friday,16,S3,0.0,40.0,30.0
ROUTE11,TRIP301,Friday,16,S5,26.0,7.0,49.0
ROUTE11,TRIP301,Friday,17,S1,11.0,0.0,60.0
ROUTE11,TRIP301,Friday,17,S2,18.0,12.0,66.0
ROUTE11,TRIP301,Friday,17,S3,0.0,33.0,33.0
ROUTE11,TRIP301,Friday,17,S5,21.0,5.0,49.0
ROUTE11,TRIP301,Friday,18,S1,20.0,0.0,69.0
ROUTE11,TRIP301,Friday,18,S2,24.0,16.0,77.0
ROUTE11,TRIP301,Friday,18,S3,0.0,35.0,42.0
ROUTE11,TRIP301,Friday,18,S5,15.0,8.0,49.0
ROUTE11,TRIP301,Friday,19,S1,16.0,0.0,65.0
ROUTE11,TRIP301,Friday,19,S2,21.0,22.0,64.0
ROUTE11,TRIP301,Friday,19,S3,0.0,34.0,30.0
ROUTE11,TRIP301,Friday,19,S5,21.0,2.0,49.0
ROUTE11,TRIP301,Friday,21,S1,6.0,0.0,55.0
ROUTE11,TRIP301,Friday,21,S2,5.0,6.0,54.0
ROUTE11,TRIP301,Friday,21,S3,0.0,11.0,43.0
ROUTE11,TRIP301,Friday,21,S5,6.0,0.0,49.0
ROUTE11,TRIP301,Friday,22,S1,6.0,0.0,55.0
ROUTE11,TRIP301,Friday,22,S2,10.0,5.0,60.0
ROUTE11,TRIP301,Friday,22,S3,0.0,15.0,45.0
ROUTE11,TRIP301,Friday,22,S5,6.0,2.0,49.0
ROUTE11,TRIP301,Monday,7,S1,38.0,0.0,38.0
ROUTE11,TRIP301,Monday,7,S2,37.0,38.0,37.0
ROUTE11,TRIP301,Monday,7,S3,0.0,37.0,0.0
ROUTE11,TRIP301,Monday,7,S5,52.0,0.0,52.0
ROUTE11,TRIP301,Monday,8,S1,50.0,0.0,102.0
ROUTE11,TRIP301,Monday,8,S2,47.0,30.0,119.0
ROUTE11,TRIP301,Monday,8,S3,0.0,79.0,40.0
ROUTE11,TRIP301,Monday,8,S5,25.0,13.0,52.0
ROUTE11,TRIP301,Monday,9,S1,47.0,0.0,99.0
ROUTE11,TRIP301,Monday,9,S2,40.0,44.0,95.0
ROUTE11,TRIP301,Monday,9,S3,0.0,82.0,13.0
ROUTE11,TRIP301,Monday,9,S5,53.0,13.0,53.0
ROUTE11,TRIP301,Monday,11,S1,22.0,0.0,75.0
ROUTE11,TRIP301,Monday,11,S2,42.0,16.0,101.0
ROUTE11,TRIP301,Monday,11,S3,0.0,58.0,43.0
ROUTE11,TRIP301,Monday,11,S5,20.0,10.0,53.0
ROUTE11,TRIP301,Monday,12,S1,21.0,0.0,74.0
ROUTE11,TRIP301,Monday,12,S2,27.0,16.0,85.0
ROUTE11,TRIP301,Monday,12,S3,0.0,49.0,36.0
ROUTE11,TRIP301,Monday,12,S5,23.0,6.0,53.0
ROUTE11,TRIP301,Monday,13,S1,19.0,0.0,72.0
ROUTE11,TRIP301,Monday,13,S2,19.0,15.0,76.0
ROUTE11,TRIP301,Monday,13,S3,0.0,37.0,39.0
ROUTE11,TRIP301,Monday,13,S5,24.0,10.0,53.0
ROUTE11,TRIP301,Monday,14,S1,24.0,0.0,77.0
ROUTE11,TRIP301,Monday,14,S2,23.0,20.0,80.0
ROUTE11,TRIP301,Monday,14,S3,0.0,38.0,42.0
